id,text,polarization,language
khm_72f9cc511f25fb9737b035dbb40dd67d,កូរ៉េខាងជើងបានបាញ់មីស៊ីលផ្លោងចម្ងាយខ្លីចំនួន ២ គ្រាប់ទៀត ចូលទៅកាន់សមុទ្រក្នុងទិសដៅប្រទេសជប៉ុន នៅថ្ងៃព,0,khm
khm_0e51d24a44a110e09d457ca6bc7bdcc5,ការស្រាវជ្រាវមើលទៅលើអ្នកជំងឺជាង៤.៤ពាន់នាក់ដែលត្រូវបានធ្វើរោគវិនិច្ឆ័យឃើញថាមានការគេងមិនដកដង្ហើមមុនឬក្រោយព,0,khm
hau_2657111c5acaa336d9b0bc20d0baddf1,"Da ace Prof makari ne yaci kudin nan da dan bello ya tono, da yanzu sunayen dan bello garkuwar sunnah, asadus sunnah, filus sunnah, katafilar sunnah, dan birin sunnah, giwar sunnah, damisan sunnah. Amma da yake albalalawy ne saidai dan bello yayi maneji da fasiqi, yaron yahudawa, kafir su ne basi su dawo kalangwa!",1,hau
khm_81840556743bcd97cca36cc426040f05,ទោះបីជាយ៉ាងណា អ្នកនាំពាក្យគណបក្សប្រជាជនកម្ពុជា បានបដិសេធថា លោក ហ៊ុន សែន អនុញ្ញាតឲ្យគ្រួសារសង់ចេតិយផ្ទាល់ខ្ល�,0,khm
khm_8ce20b328a972dec729db39f28152960,កូរ៉េខាងត្បូង និងសហរដ្ឋអាម៉េរិក បានចាប់ផ្តើមធ្វើសមយុទ្ធដែនសមុទ្រជាមួយនឹងនាវាផ្ទុកយន្តហោះច្បាំងអាម៉េរិកនៅ,0,khm
hau_fd6975469a8a8b9cab497980ad2eb835,"Masha Allah zan yi amal da kuma ya fi gane cewa tijjaniyya suna iya koyar da wuta. Mu ce masu hankali Bama domin su. Allah ya sani, amma haukan suna da batu na jarabawa, Ya Hayyu Ya Quyyum ba ka iya jarrabawa mu da irin haukan wadansu.🤲🤲🤲 Āmeen",1,hau
khm_f2b831ebbbd349b8b6da8ad2a92dc79a,អតីតកីឡាករស្វាយរៀងសង្កត់ធ្ងន់ថា៖ ខ្ញុំបានសួរកីឡាករ ពួកគេឆ្លើយថា ចង់បានពានសម្តេច និងលីគទី២ ដែរ។,0,khm
khm_fc8c90bb5c42c586370330d8d7ff5e63,នៅពេលដែលគាត់អង្គុយស្ងៀមបានមួយភ្លែត ទំពែកទាំងបួននាក់ក៏ចាប់ផ្តើមគិតពីរឿងដែលកើតឡើង ហើយទំពក់ក៏និយាយឡើងម�,0,khm
hau_5d5def9828883b08f5ad91741831a3d7,Gaskiya ya dawo sai Kano wanda ya yi jahilci kuma mu ne matsalolin mu da kan mu,1,hau
hau_146c802013ed8f3f92c51a6b80f81f1c,"Shi matsalar Pantami hakan yawan jarirai, shi yasa yawancin influencers suka daki gaba nashi ba",1,hau
hau_7597bfe4bc320e9660fa522e522f8565,A gaskiya ina kallon Jonathan bazan zabi kwankwaso ba. Ko ba komai na san Jonathan ba shi da girman kai ba ga ALLAH SWT ba har ma ga mutane abokan halitta. Shi kuwa kwankwaso ba ya ji a ran sa cewa ALLAH ne ke da iko a kan komai.,1,hau
khm_b5af01dcbf2362d5a32b044dd2384b05,បើអ្នកមានអារម្មណ៍ថា រាងកាយអ្នកតែងតែឈឺចាប់នៅផ្នែកណាមួយ ដល់ថ្នាក់រំខានដល់ការងារប្រចាំថ្ងៃ សូមព្យាយាមរកមើលមូលហេ,0,khm
khm_2e2e31779d3659949570926c34f48311,សកម្មជនទាំងនោះគឺមានដូចជា លោកវឿងសំណាង លោកខាន់ប៊ុនផេង និងលោកគង់ម៉ាស់ ដែលកំពុងជាប់ពន្ធនាគារព្រៃស “ម១” នៅក្ន,0,khm
khm_15cc5f3a8b42af8410954b6570ce2a88,នេះគឺជាការចុះផ្សាយដោយកាសែត AP។,0,khm
khm_345e84ac08215d3bb802420b11471a3f,ខ្ញុំចង់ហៅទូរសព្ទទៅស្ថានទូតជប៉ុនណាមួយ,0,khm
khm_dfde05d8540e5b7f047896448b243cc1,ការសួរចម្លើយរបស់គាត់បានបន្តពីម៉ោងបួនល្ងាចរហូតដល់ពាក់កណ្តាលយប់។,0,khm
khm_21d402239575931192d4789319cb9e6a,សភាពាណិជ្ជកម្មបារាំងប្រចាំខេត្តសៀមរាបនឹងរៀបចំព្រឹត្តិការណ៍យប់មួយ ដែលមានអាហារប៊ូហ្វេ BBQ ការចាប់ឆ្នោតផ្សងសំណាង ន,0,khm
khm_ed51f500c008851c6912598ad8015d3d,បើទោះជាពួកគេនិយាយថា មានមតិជំទាស់នឹងគំនិតនោះក៏ដោយ។,0,khm
khm_cfed2d8a0f542e4364bffcc7d1f9c0c1,ក្រសួងការបរទេស និងភ្នាក់ងារពាក់ព័ន្ធកំពុងតាមដានយ៉ាងដិតដល់ពីស្ថានភាពកម្មករវៀតណាមនៅកម្ពុជា។,0,khm
