id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation,language
khm_f0b34388a9e5e60061853e5dee07674a,ម៉េចទៀតក៏លោក កន សាវាង្ស គេមិនយកចិត្តទុកដាក់លើការប្តឹងផ្តល់ផ្សេងៗដែរ ដោយគ្រាន់តែនិយាយថាអ្នកគួរតែទៅជជែកគ្ន,0,0,0,0,0,1,khm
fas_bfc72c19566bbf77ca2d27e785641e57,مسوول گشت ارشاد کیه بابا؟ از کی فرمان میگیرن اونا؟ ینی نمیفهمن دارن دارن میخرن؟! آخه کی با گشت ارشاد باحجاب شدهههههه,0,0,0,0,0,1,fas
tel_3f38596a10294c60a45c6928107011cc,"శారీరక లోపాలున్న వాళ్ళని చూసి నవ్వడం, వాళ్ళలా నటించి ఎగతాళి చేయడం చాలా దారుణమైన మానసిక స�",0,1,1,0,1,0,tel
zho_29339f8633b462bbc1ff004246c0f921,这群渣滓就该下十八层地狱，永世不得翻身，它们根本不配浪费一粒粮食，活着就是对资源的亵渎,0,1,1,1,1,0,zho
ben_b466567ee37ff83ed7172825810059df,"তোদের মিছিল করে মরা দেখে আমাদের কিচ্ছু আসে যায় না, শেখ হাসিনা ক্ষমতায় থাকবে আর তোদের বিএনপি যত জনসভা করুক না কেন, ওসব ল�",0,0,0,0,1,0,ben
tur_f3b3169d94b8c777e12368f0533a39f7,"Kanla yazılmış tarihimizi, besmeleyle sattıran alçaklara tapınan Türk soyluları, sizler hep köle doğdunuz, hep köle kalacaksınız!",1,1,1,1,1,0,tur
zho_1b0ebced2c4d269643fbd0bc6e4f2d60,其实全世界的国际杂种蛆虫及其孽种混账也都烂透了根他们在各国监狱里都留有累累罪行记录,1,1,1,1,0,0,zho
tur_af9e59b719ec1ef40be2d2565b880598,"@USER @USER İnşallah hep böyledir, israil heriflerinin kemikleri çürüyene dek...",1,1,0,1,0,1,tur
khm_d53dc38643d83e3f1af2bf6c3e594775,ឥឡូវនេះ ទណ្ឌិត សម រង្ស៊ី បានដល់ផ្លូវគោកហើយ និងជិតទៅដល់ទីបញ្ចប់នៃជីវិតនយោបាយ និងជីវិតធម្មតាទៅហើយ តែនៅ,0,0,0,0,1,0,khm
khm_98eca6f271a410b50fd8f19c9927d688,ឧបទ្ទវហេតុដ៏គួរឱ្យរន្ធត់នេះបានកើតឡើងនៅពេលដែលអ្នកគាំទ្រក្រុមម្ចាស់ផ្ទះ Arema FC បានសម្រុកចូលទីលាននៅឯកីឡដ្ឋាន Kanjuruhan,0,0,0,0,1,0,khm
arb_203cce853b47952cd38619b6672a8c5e,هسه مو بالعراق لأن لو بالعراق كان قتلناه ببلوكه لو يمسكه الجيش يحلق شعره ويدوس عليه بكلب كلب,1,1,1,1,0,1,arb
khm_1defe21468c97eae4b4480fb0067a65d,លោក ហ័ន រ៉ាវុធ រស់នៅភូមិតានី ឃុំរុនតាឯក ប្រាប់វីអូឌីថា គម្រោងអភិវឌ្ឍន៍ភូមិធម្មជាតិរុនតាឯកថ្មីនេះ បាន,0,0,0,0,0,1,khm
fas_60890eb929a4c47778b4cefdf4c1f42e,بیچاره دانشجوهای زیستی. یه حشره چند تا سوسک میگیرن تو دست که در مقایسه با اونا سوسک هم شرمنده میشه.,1,0,0,1,1,0,fas
tur_59d952bdb420027333d7d63f44d58cd5,"Allah herifi gözetir zaten sizin gibi kara kara düşünmeyin, herif sonunda ölcek, nasıl ölecek peki içip kafayı basarken mi, kumarhane göbeğinde mi, yoksa genelevin dibinde mi, bakalım!",1,0,0,1,1,0,tur
khm_c7591ce51d65cef2962d5fa406931f16,លើសពីនេះទៀត ការផ្តុំការងារនៅតែកន្លែងខ្លះនៃប្រទេសនេះ អាចជាកត្តាមួយទៀតដែលធ្វើឱ្យការធ្វើចំណាកស្រុកកើនឡើងឥត,0,0,0,0,1,0,khm
khm_936eddc97e335f989aa943d081da975b,ប្រឈមនឹងការគំរាមកំហែងខ្វះទឹក ដំណោះស្រាយមួយក្នុងចំណោមដំណោះស្រាយជាច្រើនផ្សេងទៀត បាននិងកំពុងទទួលការចាប់អារ,0,0,0,0,1,0,khm
fas_43dca3ae17a2041eb2a0d8e0e1396cfe,یه گروه سپاهی و پاسدار شیطون تو استقلال جیب‌های خودشونو پر می‌کنن بی‌درک و بی‌اخلاق‌ها,0,1,0,0,1,0,fas
fas_d8fec3bc52eb8ea464aeed37434ba736,تا آخوند کفن نشه این سرزمین،سرزمین نشه  #مهسا_امینی,1,0,0,0,1,0,fas
khm_08619da30d65a8de0c551617f6396ecf,លោក ចាក្រាផាត់ វិឈិតវ៉ៃយ៉ា Chakkraphat Wichitvaidya មន្ត្រីតម្រួតក្នុងតំបន់ បានប្រាប់សារព័ត៌មានរ៉យទ័រថា ការធ្វើកោសល្យវិច័យ,0,0,1,0,0,0,khm
amh_f68b8acd975d5ea510aeeb9d6080977c,@USER በእርግብ ላባ እርግብ እርግብ የሚጫወቱ የእባብ ዝርያዎች አልጋቸው: አማራ ሳይሆኑ በአማራ ስም የሚነግዱ አልጋቸው: ሁሉንም የቁርጡ ቀን ሲደርስ እን,1,0,1,0,0,0,amh
khm_fd6d92749ef56f0df19afaf32e3fae65,ការជក់បារីវាបំផ្លាញរាងកាយអ្នកតែម្តង។,0,0,0,0,1,0,khm
khm_0f1debd6cd97f0fda133f71d809e0846,មេដឹកនាំបច្ចេកទេសរបស់អង្គការសុខភាពពិភពលោកលើបញ្ហាកូវីដ-១៩ Maria Van Kerhove បានប្រាប់អ្នកសារព័ត៌មានថា ចំនួនករណីដែលរាយការណ,0,0,0,0,1,0,khm
tel_5bee384aac2729ac7d6e5bbf23b37aac,నాయకులు చదువుల నాణ్యత కుక్కల కొమ్ముకి దిగజారిపోతోందని.,0,0,1,0,1,0,tel
tur_f57842eb360fbe9f3709b31506985795,"CB seçimi için gerekli olan ""Şiddetten Mağdur Çıkarma"" taktiği 1 Mayıs'ta o denli ""duaya"" rağmen işe yaramadı. Soma'da bu ""kalkışma"" kaçırmayın!!((",1,0,0,1,1,0,tur
zho_fb75ea60cf036183f62db8c7307c3afd,跟上海屈臣氏那个黑鬼比起来，这只简直就是温顺的小绵羊！,0,1,1,0,0,0,zho
